RATA,aggregation-time,provincia_sede,Provincia Sede,descrizione_ente,3descrizione,codice_ente,CODICE ENTE,regione_sede,regione%sede,attivazioni,att ivazioni,cessazioni,mese,anno,qualifica,note,fonte_dato,tipo_contratto
202310,2024-03-13T01:41:15.783,NA,NA,Ente_042,Ente_042,76,76,Puglia,Puglia,27,27,88,10,2023,,,,Determinato
202306,2024-07-17T18:24:29.472,TS,TS,Ente_084,Ente_084,10,10,Calabria,Calabria,171,171,346,6,2023,,,,Determinato
202302,2024-11-03T21:54:26.280,MI,MI,Ente_001,Ente_001,47,47,,,297,297,454,2,2023,Dirigente,,,Indeterminato
202307,2024-12-10T05:58:32.381,PZ,PZ,Ente_013,Ente_013,28,28,Trentino-Alto Adige,Trentino-Alto Adige,34,34,142,7,2023,,,,Indeterminato
202411,2024-09-30T03:36:39.885,PT,PT,Ente_077,Ente_077,83,83,Liguria,Liguria,377,377,278,11,2024,Impiegato,,,Determinato
202302,2024-10-21T08:33:36.382,BG,BG,Ente_020,Ente_020,91,91,Umbria,Umbria,340,340,30,2,2023,,,,Part-time
202402,05-11-24,CB,CB,Ente_094,Ente_094,39,39,Molise,Molise,267,267,473,2,2024,Dirigente,,,Determinato
202305,2024-03-06T06:14:33.995,BG,BG,Ente_059,Ente_059,20,20,Friuli-Venezia Giulia,Friuli-Venezia Giulia,495,495,13,5,2023,,,,Indeterminato
202409,2024-07-23T00:18:14.770,VE,VE,Ente_086,Ente_086,76,76,Toscana,Toscana,103,103,454,9,2024,Impiegato,,,Determinato
202410,2024-04-23T12:35:22.863,BA,CT,Ente_080,Ente_080,82,82,Veneto,Veneto,469,469,105,10,2024,,,,Indeterminato
202405,2024-06-13T18:39:51.652,CB,CB,Ente_019,Ente_019,37,37,Friuli-Venezia Giulia,Friuli-Venezia Giulia,160,160,257,5,2024,Funzionario,,,Indeterminato
202306,2024-09-27T00:56:23.536,CB,CB,Ente_025,Ente_025,62,62,Piemonte,Piemonte,151,151,82,6,2023,Funzionario,,,Indeterminato
202303,2024-02-05T03:38:48.794,PE,FI,Ente_002,Ente_002,44,44,Emilia-Romagna,Emilia-Romagna,189,189,413,3,2023,Operatore,,,Indeterminato
202304,2024-11-04T10:31:54.569,TS,TS,Ente_055,Ente_055,73,73,Trentino-Alto Adige,Trentino-Alto Adige,59,59,388,4,2023,Impiegato,,,Indeterminato
202404,2024-02-02T12:12:47.173,PE,PE,Ente_080,Ente_080,21,21,Puglia,Puglia,316,316,364,4,2024,Dirigente,,,Indeterminato
202405,2024-01-16T11:28:14.078,TS,TS,Ente_084,Ente_084,95,95,Molise,Molise,17,17,402,5,2024,Dirigente,,,Indeterminato
202309,01-01-23,MI,MI,Ente_045,Ente_045,28,28,Puglia,Puglia,213,213,405,9,2023,,,,Determinato
202301,2024-02-04T00:51:19.895,VA,VA,Ente_051,Ente_051,72,72,Sicilia,Sicilia,97,97,212,1,2023,Operatore,,,Indeterminato
202310,2024-11-06T13:31:29.934,VA,VA,Ente_004,Ente_004,28,28,Valle d'Aosta,Valle d'Aosta,227,227,264,10,2023,,,,Indeterminato
202401,2024-01-25T11:18:37.120,CB,CB,Ente_015,Ente_015,5,5,Sicilia,Sicilia,296,296,197,1,2024,Dirigente,,,Determinato
202404,2024-06-18T02:10:30.634,PG,AO,Ente_079,Ente_079,92,92,Marche,Marche,85,85,194,mese 1,2021,Funzionario,,,Indeterminato
202311,2024-09-05T13:36:41.717,VE,VE,Ente_018,Ente_018,1,1,Puglia,Puglia,41,41,37,11,2023,Dirigente,,,Indeterminato
202410,03.08.2023,RM,RM,Ente_010,Ente_010,32,32,Veneto,Veneto,302,302,186,10,2024,,,,Determinato
202403,2024-07-21T19:44:56.926,FI,FI,Ente_040,Ente_040,94,94,Toscana,Toscana,452,452,359,3,2024,,,,Indeterminato
202311,2024-01-09T07:33:16.465,PA,PA,Ente_067,Ente_067,40,40,Trentino-Alto Adige,Trentino-Alto Adige,N.D.,445,274,11,2023,Dirigente,,,Determinato
202409,2024-07-17T17:08:03.082,PG,PG,Ente_050,Ente_050,41,41,Sicilia,Sicilia,348,348,431,9,2024,Funzionario,,,Indeterminato
202412,2024-12-27T22:32:02.459,MI,MI,Ente_026,Ente_026,70,70,Abruzzo,Abruzzo,379,379,46,12,2024,Impiegato,,,Indeterminato
202303,2024-02-02T15:37:41.251,CB,CB,Ente_009,Ente_009,31,31,Marche,Marche,262,262,486 unità,Giugno,2021,,,,Indeterminato
202406,2024-08-19T10:16:46.103,TO,TO,Ente_085,Ente_085,45,45,Friuli-Venezia Giulia,Friuli-Venezia Giulia,27,27,287,6,2024,Operatore,,,Indeterminato
202301,2024-12-17T15:46:49.984,PG,PG,Ente_076,Ente_076,25,25,Sardegna,Sardegna,482,482,N.D.,01,anno 2023,Dirigente,,,Determinato
202408,2024-10-25T00:00:28.749,RM,RM,Ente_052,Ente_052,85,85,Toscana,Toscana,24,24,480,8,2024,Funzionario,,,Indeterminato
202304,2024-01-26T04:07:48.674,PA,PA,Ente_057,Ente_057,3,3,Umbria,Lombardia,229,229,185,4,2023,Operatore,Dato stimato,,Indeterminato
202311,2024-02-23T04:34:15.727,PD,PD,Ente_033,Ente_033,1,1,Umbria,Umbria,200,200,135,11,2023,Operatore,,,Part-time
202304,2024-09-22T07:32:33.823,RM,RM,Ente_052,Ente_052,13,13,Lombardia,Lombardia,93,93,108,mese 5,anno 2024,Impiegato,,,Indeterminato
202311,2024-12-10T13:11:50.394,BO,BO,Ente_085,Ente_085,1,1,Marche,Marche,33,33,17,mese 01,2023.,,,,Indeterminato
202401,2024-03-28T14:17:30.339,CA,CA,Ente_051,Ente_051,8,8,Molise,Molise,442,442,273,1,2024,Impiegato,,,Indeterminato
202312,2024/11/05,CT,CT,Ente_068,Ente_068,30,30,Campania,Campania,399,399,244,12,2023,,,,Indeterminato
202403,2023/12/18,NA,NA,Ente_063,Ente_063,64,64,Lombardia,Lombardia,207,207,240,3,2024,,,,Indeterminato
202403,2024-06-14T14:33:12.397,PT,PT,Ente_038,Ente_038,19,19,Trentino-Alto Adige,Trentino-Alto Adige,430,430,469,3,2024,Operatore,,,Determinato
202405,2024-08-23T15:49:49.500,VE,VE,Ente_052,Ente_052,56,56,Umbria,Umbria,210,210,188,5,2024,,,,Part-time
202404,11-01-24,BS,BS,Ente_054,Ente_054,65,65,Puglia,Puglia,53,53,360,4,2024,Impiegato,,,Part-time
202409,2024-03-26T18:22:14.040,CB,CB,Ente_075,Ente_075,90,90,Emilia-Romagna,Emilia-Romagna,486,486,307,9,2024,Funzionario,,,Part-time
202303,2024-02-28T21:03:32.647,GE,BO,Ente_023,Ente_023,24,24,Toscana,Toscana,418,418,312,3,2023,Impiegato,,,Indeterminato
202412,2024-06-18T09:08:25.978,BZ,BZ,Ente_026,Ente_026,76,76,Veneto,Veneto,108,108,455,12,2024,Operatore,,,Indeterminato
202305,2024/03/02,PD,PD,Ente_087,Ente_087,50,50,Piemonte,Piemonte,116,116,194,5,2023,Funzionario,,,Part-time
202408,2024/10/02,AO,AO,Ente_057,Ente_057,94,94,Trentino-Alto Adige,Trentino-Alto Adige,90,90,400,NOV,2023,Funzionario,,,Indeterminato
202406,2024-03-20T07:57:01.578,CT,CT,Ente_056,Ente_056,51,51,Umbria,Umbria,65,65,106,6,2024,Impiegato,,,Part-time
202409,2024-01-22T02:55:12.868,PA,PA,Ente_067,Ente_067,98,98,Basilicata,Basilicata,2,2,123,9,2024,Operatore,,,Indeterminato
202306,2024-12-26T21:58:16.526,VA,VA,Ente_044,Ente_044,17,17,Molise,Molise,109,109,55,6,2023,Dirigente,,,Determinato
202301,2024-03-26T15:43:04.190,CT,CT,Ente_029,Ente_029,11,11,Veneto,Veneto,137,137,385,1,2023,Dirigente,,,Indeterminato
202312,2024-11-24T12:20:02.555,AQ,AQ,Ente_050,Ente_050,10,10,Sicilia,Sicilia,47,47,363,9,2023.,Impiegato,,,Indeterminato
202403,2024-08-13T18:45:05.269,PZ,PZ,Ente_001,Ente_001,90,90,Sicilia,Sicilia,90,90,62,mese 6,anno 2024,Funzionario,,,Determinato
202303,2024-05-09T00:38:03.028,PD,,Ente_074,Ente_090,35,58,Sicilia,Sicilia,313,313,303,12,23,Operatore,,,Indeterminato
202308,2024-09-03T05:06:54.063,PZ,PZ,Ente_014,Ente_014,100,100,Piemonte,Piemonte,376,376,445,8,2023,,,,Indeterminato
202408,2024-12-06T16:14:44.429,Aq,AQ,Ente_080,Ente_080,54,54,Molise,Molise,390,390,469,8,2024,Operatore,,,Part-time
202410,2024-11-04T02:54:23.091,AQ,AQ,Ente_004,Ente_004,95,57,Lombardia,Lombardia,374,374,340,10,2024,Dirigente,,,Determinato
202410,27.01.2023,PG,PG,Ente_064,Ente_064,18,18,Umbria,Umbria,152,152,397,10,2024,,,,Indeterminato
202305,2024-02-22T04:01:58.055,AN,AN,Ente_043,Ente_043,17,17,Valle d'Aosta,Valle d'Aosta,108,108,414,5,2023,,,,Determinato
202408,2024-09-17T14:41:43.299,AO,PG,Ente_067,Ente_067,63,63,Marche,Marche,328,328,334,8,2024,Impiegato,,,Determinato
202307,2024-11-23T21:56:20.559,MI,MI,Ente_053,Ente_053,65,65,Emilia-Romagna,Emilia-Romagna,5,5,442,7,2023,Funzionario,,,Indeterminato
202412,07.04.2023,VA,PT,Ente_096,Ente_096,75,75,Liguria,Liguria,128,128,269,12,2024,Operatore,,,Determinato
202312,2024-02-17T05:29:36.766,MO,MO,Ente_044,Ente_044,99,99,Veneto,Veneto,448,448,278,12,2023,Funzionario,,,Part-time
202402,04-01-24,CA,CA,Ente_064,Ente_062,79,79,Sardegna,Sardegna,384,384,26,2,2024,,,,Indeterminato
202406,2024-01-31T05:32:29.175,MI,MI,Ente_100,Ente_100,33,33,Marche,Marche,119,119,263,6,2024,Operatore,,,Indeterminato
202411,2024-03-15T08:44:52.719,BA,BA,Ente_080,Ente_080,35,35,Umbria,Umbria,258,258,315,11,2024,Dirigente,,,Part-time
202306,2024-08-12T18:52:02.616,PT,PT,Ente_073,Ente_073,48,48,Valle d'Aosta,Valle d'Aosta,148,148,371,6,2023,Operatore,,,Indeterminato
202310,2024-02-25T20:12:46.433,BO,BO,Ente_053,Ente_053,56,56,Puglia,Puglia,189,189,65,10,2023,Funzionario,,,Indeterminato
202306,2024-08-24T20:15:16.485,FI,FI,Ente_020,Ente_010,86,86,Sardegna,Sardegna,177,177,472,6,2023,Operatore,,,Determinato
202302,2024-08-22T06:53:56.315,PZ,PZ,Ente_097,Ente_026,67,67,Molise,Molise,216,216,368,2,2023,Funzionario,,,Indeterminato
202301,2024-04-07T15:57:33.515,ca,CA,Ente_051,Ente_051,49,49,Liguria,Liguria,100,100,406,1,2023,Operatore,,,Indeterminato
202305,2024-04-24T10:07:28.638,AQ,AQ,Ente_097,Ente_097,19,19,Lombardia,Lombardia,274,274,16,5,2023,Dirigente,,,Indeterminato
202309,25.08.2023,BG,BG,Ente_061,Ente_061,36,36,Trentino-Alto Adige,Trentino-Alto Adige,227,227,0,9,2023,Operatore,,,Indeterminato
202404,2024-03-24T01:20:52.406,NA,NA,Ente_032,Ente_032,100,100,Calabria,Calabria,491,491,26,4,2024,Operatore,,,Indeterminato
202411,2024-12-07T05:20:50.685,FI,PG,Ente_070,Ente_070,78,78,Sicilia,Sicilia,226,226,392,11,2024,Funzionario,,,Determinato
202307,2024-04-28T04:25:31.750,PE,PE,Ente_054,Ente_054,89,89,Puglia,Puglia,98,98,388,7,2023,Dirigente,,,Determinato
202408,2024-04-21T21:34:47.322,MO,MO,Ente_041,Ente_041,48,48,Friuli-Venezia Giulia,Friuli-Venezia Giulia,187,187,470,8,2024,,,,Determinato
202405,17.09.2023,TS,TS,Ente_006,Ente_006,12,12,Lombardia,Lombardia,470,470,98,5,2024,,,,Part-time
202405,2024-11-22T03:10:06.098,PG,PG,Ente_083,Ente_083,62,62,Lombardia,Lombardia,24,24,56,5,2024,Impiegato,,,Indeterminato
202304,2024/09/23,PA,PA,Ente_027,Ente_027,26,26,Sardegna,Sardegna,327,327,360,4,2023,Operatore,,,Determinato
202412,2024-06-10T09:47:54.760,MO,MO,Ente_009,Ente_009,27,27,Veneto,Veneto,291,291,363,12,2024,Operatore,,,Determinato
202306,2024-10-12T08:06:11.685,PT,PT,Ente_066,Ente_066,38,38,Friuli-Venezia Giulia,Friuli-Venezia Giulia,188,188,190,6,2023,,,,Indeterminato
202309,2024-06-21T18:57:29.936,PA,PA,Ente_076,Ente_095,27,27,Sicilia,Sicilia,250,250,399,9,2023,Dirigente,,,Indeterminato
202308,2024-09-29T03:33:12.789,FI,FI,Ente_005,Ente_005,71,71,Abruzzo,Abruzzo,51,51,423,8,2023,Dirigente,,,Determinato
202412,2024-06-04T04:21:45.205,AQ,AQ,Ente_007,Ente_007,21,21,Valle d'Aosta,Valle d'Aosta,312,312,198,12,2024,Operatore,,,Determinato
202309,2024-01-08T15:33:41.995,BZ,TS,Ente_083,Ente_083,82,82,Veneto,Veneto,189,189,256,1,2022,Funzionario,,,Determinato
202309,2024-11-28T21:10:08.430,GE,GE,Ente_043,Ente_043,74,74,Umbria,Lazio,232,232,280,9,2023,,,,Indeterminato
202308,2024-02-03T20:41:59.106,AQ,AQ,Ente_100,Ente_100,26,26,Basilicata,Basilicata,273,273,301,8,2023,Dirigente,,,Part-time
202310,18-11-23,AO,AO,Ente_098,Ente_098,3,3,Marche,Marche,100,100,144,0,23,Funzionario,,,Determinato
202309,09-12-24,PZ,PZ,Ente_008,Ente_008,68,68,Lazio,Lazio,262,262,43,9,2023,Operatore,,,Indeterminato
202309,2024-10-01T20:10:46.615,An,AN,Ente_079,Ente_079,14,14,,,280,280,425,9,2023,Dirigente,,,Indeterminato
202305,2024-03-05T06:08:15.815,TS,TS,Ente_087,Ente_087,57,57,Basilicata,Piemonte,492,492,438,5,2024,,,,Determinato
202310,2024-10-21T01:58:56.713,CB,CB,Ente_038,Ente_038,82,82,Piemonte,Piemonte,263,263,422,10,2023,Operatore,,,Indeterminato
202404,2024-10-10T19:17:29.318,PE,PE,Ente_087,Ente_087,6,6,Trentino-Alto Adige,Trentino-Alto Adige,163,163,406,4,2024,,,,Determinato
202301,2024-03-13T09:23:52.787,RM,RM,Ente_025,Ente_025,42,42,Valle d'Aosta,Valle d'Aosta,301,301,323,1,2023,Dirigente,,,Indeterminato
202405,2024-01-21T23:10:23.783,bg,BG,Ente_009,Ente_009,58,58,Campania,Campania,154,154,103,5,2024,Impiegato,,,Determinato
202411,2024-03-18T08:11:47.571,BO,BO,Ente_087,Ente_087,53,53,Calabria,Calabria,148,148,214,11,2024,,,,Indeterminato
202307,2024-11-11T01:12:53.676,AO,AO,Ente_061,Ente_061,5,21,Lazio,Lazio,193,193,5,7,2023,,,,Determinato
202310,2024-09-21T01:56:10.223,NA,NA,Ente_093,Ente_093,12,12,Liguria,Liguria,459,459,94,10,2023,,,,Determinato
202406,2024-11-15T12:10:54.431,PE,PE,Ente_026,Ente_026,47,47,Molise,Molise,196,196,61,6,2024,,,,Indeterminato
202401,2024-08-07T16:05:09.292,PA,PA,Ente_046,Ente_046,4,4,Marche,Marche,284,7,19,1,2024,Operatore,,,Indeterminato
202408,2024-05-04T02:25:08.861,PG,PG,Ente_063,Ente_063,31,31,Calabria,Calabria,398,398,311,8,2024,Funzionario,,,Determinato
202304,2024-06-15T07:47:00.449,-,CT,Ente_095,Ente_095,49,17,Veneto,Veneto,63,63,296,4,2023,Dirigente,,,Determinato
202312,2024-08-17T21:11:16.697,PA,PA,Ente_022,Ente_022,97,97,Lazio,Lazio,436,436,242,8,2024,,,,Indeterminato
202405,2024-01-30T10:20:57.517,PG,CB,Ente_092,Ente_092,87,87,Calabria,Calabria,58,174,460,5,2024,Operatore,,,Determinato
202411,2024-04-10T00:03:08.886,FI,FI,Ente_043,Ente_043,50,50,Sicilia,Sicilia,256,256,333,11,2024,,,,Indeterminato
202301,04.06.2023,BS,BS,Ente_070,Ente_070,79,79,Veneto,Veneto,452,452,N.D.,Giugno,23,Impiegato,,,Indeterminato
202404,2024-01-06T19:49:08.343,AN,AN,Ente_015,Ente_015,45,45,,,20,20,373,4,2024,Dirigente,,,Determinato
202409,2024-06-22T05:51:45.719,AQ,AQ,Ente_032,Ente_032,55,55,Sardegna,Sardegna,205,205,220,9,2024,Operatore,,,Indeterminato
202402,2024-12-08T22:06:12.727,BG,BG,Ente_061,Ente_061,75,75,Campania,Campania,265,468,438,2,2024,,Da riconciliare,,Indeterminato
202402,23.06.2023,BZ,BZ,Ente_024,Ente_024,93,93,Friuli-Venezia Giulia,Friuli-Venezia Giulia,151,151,231,2,2024,Funzionario,,,Indeterminato
202408,2024-02-07T19:37:26.818,PA,PA,Ente_021,Ente_021,45,45,Emilia-Romagna,Emilia-Romagna,330,330,116,8,2024,Dirigente,,,Determinato
202402,2024-07-11T04:08:39.797,PD,FI,Ente_036,Ente_036,87,87,Basilicata,Basilicata,103,103,412,2,2024,Impiegato,,,Part-time
202307,2024-05-22T01:05:21.833,AQ,AQ,Ente_040,Ente_040,39,39,Molise,Molise,4,4,393,7,2023,Dirigente,,,Indeterminato
202301,2024-05-20T05:21:48.389,GE,GE,Ente_077,Ente_077,100,100,Trentino-Alto Adige,Trentino-Alto Adige,158,158,172,1,2023,Operatore,,,Indeterminato
202310,2024-08-19T05:43:03.591,PA,PA,Ente_044,Ente_044,17,17,Basilicata,Basilicata,408,408,485,10,2023,Funzionario,,,Determinato
202404,2023/05/22,CT,CT,Ente_066,Ente_066,8,39,Emilia-Romagna,Emilia-Romagna,141,141,133,4,2024,Funzionario,,,Determinato
202409,2024-08-19T14:22:59.426,PG,PG,Ente_020,Ente_020,78,78,Umbria,Umbria,142,142,274,9,2024,Funzionario,,,Determinato
202406,15.10.2024,BO,BO,Ente_085,Ente_085,3,3,Veneto,Sardegna,5,5,172,6,2024,Operatore,,,Indeterminato
202410,2024-08-01T20:05:06.819,AO,AO,Ente_042,Ente_042,43,43,Umbria,Umbria,391,391,334,OTT,2024,Dirigente,,,Indeterminato
202312,2024/04/12,TS,TS,Ente_008,Ente_008,84,84,Basilicata,Basilicata,236,236,44,12,2023,Operatore,,,Part-time
202307,2024-08-09T18:43:03.278,FI,FI,Ente_045,Ente_045,33,33,Molise,Molise,475,475,363,7,2023,,,,Indeterminato
202409,2024-05-22T15:33:19.228,PZ,PZ,Ente_070,Ente_070,46,46,Basilicata,Basilicata,428,428,462,9,2024,,,,Determinato
202412,2024-09-12T19:55:30.991,BS,BS,Ente_055,Ente_055,28,28,Valle d'Aosta,Valle d'Aosta,266,266,458,12,2024,Funzionario,,,Indeterminato
10/2023,2024-11-21T17:32:42.765,PZ,RM,Ente_021,Ente_021,29,29,Calabria,Calabria,133,133,72,mese 9,2023.,Impiegato,,,Indeterminato
202310,2024-03-25T23:18:26.339,CA,CA,Ente_092,Ente_092,39,39,Marche,Marche,151,151,25,10,2023,,,,Indeterminato
202309,2024-01-20T16:58:10.744,MI,MI,Ente_065,Ente_065,76,76,Trentino-Alto Adige,Trentino-Alto Adige,325,325,447,9,2023,Operatore,,,Indeterminato
202306,2024-08-10T06:44:40.118,CT,CT,Ente_083,Ente_083,14,14,Calabria,Calabria,226,226,377,mese 12,2024,Funzionario,,,Indeterminato
202401,2024-08-12T12:47:21.108,MI,MI,Ente_051,Ente_051,31,31,Sardegna,Sardegna,475,475,51,1,2024,Operatore,,,Determinato
202301,2024-02-23T23:38:51.038,CB,CB,Ente_014,Ente_014,67,67,Lazio,Lazio,307,307,320,1,2023,Operatore,,,Indeterminato
202411,2024-10-30T13:14:06.455,PD,PD,Ente_013,Ente_013,45,45,Sardegna,Sardegna,271,271,292,07,2024.,Impiegato,,,Indeterminato
202405,2024-05-05T11:06:44.812,AO,AO,Ente_001,Ente_001,62,62,Basilicata,Basilicata,392,392,106,5,2024,,,,Indeterminato
202406,2023/12/14,NA,NA,Ente_060,Ente_060,69,69,Lombardia,Lombardia,169,169,405,6,2024,,,,Determinato
202303,2024-03-20T01:58:31.278,FI,FI,Ente_004,Ente_004,23,23,Veneto,Veneto,173,173,19,02,2023.,,,,Indeterminato
202311,2024-10-10T12:10:07.961,AN,AN,Ente_058,Ente_058,10,10,Abruzzo,Abruzzo,299,299,370,11,2023,,,,Part-time
202411,2024-05-29T00:13:49.631,rm,RM,Ente_035,Ente_050,71,71,Umbria,Umbria,432,432,432,11,2024,Impiegato,,,Determinato
202405,2024-02-10T22:37:58.583,AN,AN,Ente_069,Ente_069,46,46,Liguria,Liguria,466,466,433,5,2024,Operatore,,,Indeterminato
202403,2024-03-26T07:42:56.665,rm,TO,Ente_075,Ente_075,20,20,Lazio,Lazio,164,164,72,3,2024,Operatore,,,Indeterminato
202306,2024-09-13T16:38:19.959,AO,AO,Ente_025,Ente_025,30,30,Basilicata,Basilicata,28,28,107,6,2023,Impiegato,,,Determinato
202304,2024-12-14T00:27:34.347,BA,BA,Ente_064,Ente_064,32,32,Umbria,Umbria,339,339,499,4,2023,Funzionario,,,Indeterminato
202408,2024-09-14T11:08:38.651,NA,NA,Ente_028,Ente_028,69,69,Umbria,Umbria,401,401,179,8,2024,Operatore,,,Determinato
202303,2024-04-22T05:57:39.008,BZ,BZ,Ente_052,Ente_052,71,71,Trentino-Alto Adige,Trentino-Alto Adige,482,482,449,3,2023,Funzionario,,,Indeterminato
202307,2024-10-21T20:26:08.311,CA,CA,Ente_053,Ente_053,34,34,Molise,Molise,193,193,405,7,2023,,,,Indeterminato
202305,2024-10-26T13:33:53.930,AO,AO,Ente_026,Ente_026,84,84,Calabria,Calabria,226,226,327,5,2023,Funzionario,,,Determinato
202402,2024-06-17T12:08:13.442,PT,PT,Ente_058,Ente_058,13,13,Toscana,Toscana,409,409,494,2,2024,Operatore,,,Indeterminato
202412,2024-11-28T03:10:10.193,NA,NA,Ente_062,Ente_062,67,67,Puglia,Puglia,306,306,286,02,2021,Dirigente,,,Determinato
202412,2024-04-06T09:43:03.697,VA,VA,Ente_073,Ente_073,97,97,Puglia,Puglia,446,446,266,12,2024,Dirigente,,,Indeterminato
202402,2024-01-12T10:19:03.224,BZ,BZ,Ente_003,Ente_003,65,10,Piemonte,Piemonte,457,457,231,2,2024,Operatore,,,Indeterminato
202301,2024-12-21T13:50:52.030,pz,PZ,Ente_052,Ente_052,66,66,Trentino-Alto Adige,Trentino-Alto Adige,47,47,119,1,2023,Dirigente,,,Indeterminato
202404,2024-05-28T09:55:20.039,AN,AN,Ente_053,Ente_053,44,44,Veneto,Veneto,60,60,396,4,2024,,,,Indeterminato
202305,24.02.2023,BA,BA,Ente_022,Ente_022,91,91,Abruzzo,Abruzzo,88,88,187,5,2023,Impiegato,,,Determinato
202403,2024-05-28T14:20:19.144,FI,FI,Ente_094,Ente_094,15,15,Piemonte,Piemonte,315,315,497,3,2024,Operatore,,,Indeterminato
202408,2024-03-30T22:10:20.012,PA,PA,Ente_037,Ente_037,100,100,Toscana,Toscana,441,441,8,8,2024,Funzionario,,,Determinato
202410,25-12-24,PD,PD,Ente_061,Ente_061,47,47,,,105,105,313,01,2023,,,,Indeterminato
202307,2024-02-24T10:56:04.587,TS,TS,Ente_072,Ente_072,47,47,Lombardia,Lombardia,160,160,456,7,2023,Impiegato,,,Indeterminato
202305,06-03-24,ba,BA,Ente_100,Ente_100,45,45,Emilia-Romagna,Emilia-Romagna,83,83,414,5,2023,Dirigente,,,Indeterminato
202305,2024-06-05T05:45:51.628,CA,CA,Ente_042,Ente_003,31,31,Veneto,Veneto,118,118,322,5,2023,Dirigente,,,Indeterminato
202309,2024-09-07T16:06:04.161,TO,TO,Ente_009,Ente_009,19,19,Piemonte,Piemonte,210,210,215,9,2023,Operatore,,,Indeterminato
202308,2024-11-26T09:20:21.813,BS,BS,Ente_014,Ente_014,66,66,Veneto,Veneto,130,130,209,8,2023,Funzionario,,,Indeterminato
202308,2024-06-03T23:04:56.049,NA,PG,Ente_083,Ente_083,74,74,Molise,Molise,40,40,497,8,2023,Operatore,,,Indeterminato
202404,2024-08-07T09:39:17.486,BG,BG,Ente_084,Ente_084,39,39,Abruzzo,Abruzzo,65,65,149,4,2024,Funzionario,,,Indeterminato
202305,2024-03-24T18:53:15.957,PD,PD,Ente_098,Ente_098,84,84,Friuli-Venezia Giulia,Friuli-Venezia Giulia,98,98,230,5,2023,Operatore,,,Indeterminato
202405,2024-10-04T19:13:11.272,BS,BS,Ente_005,Ente_005,52,52,Sicilia,Sicilia,357,357,26,5,2024,Dirigente,,,Indeterminato
202308,2024-12-07T11:20:29.752,BA,PZ,Ente_039,Ente_039,55,55,Valle d'Aosta,Valle d'Aosta,345,345,151,8,2023,,,,Indeterminato
202406,2024-01-08T03:51:40.238,BG,BG,Ente_020,Ente_020,33,33,Umbria,Umbria,177,177,100,6,2024,,,,Indeterminato
202402,2024-12-22T12:46:59.719,MO,MO,Ente_081,Ente_081,94,94,Campania,Campania,228,228,224,2,2024,Funzionario,,,Determinato
202312,2024-03-13T15:54:36.100,TO,TO,Ente_055,Ente_013,100,100,Campania,Campania,152,152,124,12,2023,,,,Indeterminato
202407,2024-12-03T00:19:30.329,BG,,Ente_092,Ente_092,92,92,Emilia-Romagna,Emilia-Romagna,9,9,N.D.,2,anno 2023,Operatore,,,Indeterminato
