aggregation-time,tipo_imposta,Tipo Imposta,spesa,SPESA TOTALE,cod_imposta,2cod_imposta,cod imposta ext,ente,ente%code,cod_tipoimposta,rata,note,fonte_dato,area_geografica,anno,mese,regione
2024-04-22T05:19:39.477,Erariali,Erariali,6212249535.729964,6212249535.729964,15,15,15,Ente_053,53,5,202403,,,Nord,2024,3,Basilicata
2024-04-17T16:54:08.158,Previdenziali,Previdenziali,2166618.7981713293,2166618.7981713293,7,7,7,Ente_020,20,1,202305,,,Centro,2023,5,Lombardia
2024-03-07T11:17:46.383,Da definire,Netto,1773006.7799413325,1773006.7799413325,19,19,19,Ente_058,58,1,202310,,,Centro,2023,10,Veneto
01-09-23,Previdenziali,Assistenziali,45520.426891648065,45520.426891648065,3,3,3,Ente_079,79,3,202302,,,Centro,2023,2,Sardegna
2024-03-11T18:16:30.440,Mista,Previdenziali,4080044.566782697,4080044.566782697,1,1,1,Ente_086,86,5,202411,,,Isole,2024,11,Emilia-Romagna
2024-11-28T03:10:33.852,Mista,Netto,558685.04844796,558685.04844796,10,10,10,Ente_096,96,1,11/2024,,,Sud,2024,11,Umbria
2024/09/01,Erariali,Erariali,4977407.509010873,4977407.509010873,4,4,4,Ente_070,70,5,202411,,,Centro,2024,11,Toscana
2024-09-05T19:49:15.414,Erariali ,Erariali,€3865019.50,3865019.501063997,16,16,16,Ente_033,33,2,202409,,,Nord,2024,9,Sicilia
2024-12-13T07:37:51.338,Erariali,Erariali,2900470.078014966,2900470.078014966,12,12,12,Ente_061,61,5,202412,,,Isole,2024,12,Valle d'Aosta
2024-11-04T15:26:06.606,Erariali,Erariali,773877.4822902456,773877.4822902456,10,10,10,Ente_011,11,1,202408,,,Isole,2024,8,Basilicata
10-06-23,Mista,Assistenziali,2577449.463994842,2577449.463994842,3,3,3,Ente_092,92,3,202305,,,Isole,2023,5,Lazio
2024-08-20T02:15:25.287,Mista,Assistenziali,€1306282.60,1306282.5955481867,8,8,8,Ente_003,3,2,202311,,,,2023,11,Umbria
2024-07-14T03:51:10.833,Erariali,Erariali,1262360.3001908043,1262360.3001908043,5,5,5,Ente_049,49,3,202402,,,Nord,2024,2,Friuli-Venezia Giulia
08-01-24,Previdenziali,Previdenziali,4147816.7176630446,4147816.7176630446,16,16,16,Ente_057,57,3,202302,Verifica manuale,,Centro,2023,2,Marche
2024-08-04T19:12:50.883,Previdenziali,Previdenziali,1903841.4753732139,1903841.4753732139,4,4,4,Ente_067,67,4,202311,,,Isole,2023,11,Lazio
2024-11-15T05:40:06.137,ERARIALI,Assistenziali,2254168.29315063,2254168.29315063,16,16,16,Ente_029,29,3,202309,,,Sud,2023,9,Lazio
2024-11-27T11:41:39.129,Netto,Netto,4214980.724162811,4214980.724162811,3,3,3,Ente_011,11,5,202310,,,Nord,2023,10,Puglia
2024-11-17T23:26:55.193,Mista,Netto,439865.3379684939,439865.3379684939,4,11,11,Ente_055,55,1,202305,,,Sud,2023,5,Umbria
2024-10-16T13:58:16.315,Erariali,Erariali,2973494.6476021567,2973494.6476021567,16,16,16,Ente_096,96,1,202305,,,Centro,2023,5,Liguria
2024-01-29T02:33:08.983,Erariali,Netto,2891500.191183816,2891500.191183816,5,5,5,Ente_050,50,5,202405,,,Nord,2024,5,Trentino-Alto Adige
2023/10/04,Erariali,Erariali,2126647.6317641092,2126647.6317641092,18,18,18,Ente_015,15,3,202408,,,Sud,2024,8,Piemonte
2024-01-31T19:44:06.863,ERARIALI,Erariali,4149043.4324790407,4149043.4324790407,20,20,20,Ente_004,4,4,202410,Verifica manuale,,Sud,2024,10,Umbria
2024-11-17T05:01:08.143,erariali,Assistenziali,4714507.416617127,4714507.416617127,8,8,8,Ente_032,32,4,202310,,,Centro,2023,10,Piemonte
2024-09-14T20:02:16.015,Previdenziali,Previdenziali,2327213.97370614,2327213.97370614,8,8,8,Ente_052,52,5,202306,,,,2023,6,Basilicata
2024-05-06T20:10:14.301,Previdenziali,Previdenziali,2281279.1079410003,2281279.1079410003,7,7,7,Ente_062,62,5,202404,,,Centro,2024,4,Abruzzo
2024-09-28T01:02:09.422,Assistenziali,Assistenziali,2510816.584624053,2510816.584624053,10,10,10,Ente_098,98,1,202312,,,Sud,2023,12,Liguria
2024/06/04,ERARIALI,Erariali,3615897.0301344744,3615897.0301344744,2,2,2,Ente_074,74,5,202308,,,,2023,8,Lazio
2024-08-21T17:24:40.926,erariali,Erariali,3340633.3932041125,3340633.3932041125,20,20,20,Ente_094,94,2,202406,,,Centro,2024,6,Liguria
2024-08-21T08:47:55.106,Da definire,Netto,1114951.9110852284,1114951.9110852284,6,6,6,Ente_041,41,3,202304,,,,2023,4,Abruzzo
2024-02-09T04:22:37.087,Da definire,Assistenziali,320412.8476481172,320412.8476481172,15,15,15,Ente_082,82,2,202302,,,Sud,2023,2,Liguria
2024-07-03T10:01:21.128,Erariali,Erariali,4746321.39495413,4746321.39495413,14,14,14,Ente_017,17,5,202301,,,Sud,2023,1,Trentino-Alto Adige
11-07-24,erariali,Erariali,1306087.7289087877,1306087.7289087877,8,8,8,Ente_005,5,3,202311,,,Sud,2023,11,Valle d'Aosta
2024-01-17T23:08:09.886,Da definire,Previdenziali,3193344.826768268,3193344.826768268,9,9,9,Ente_072,72,5,202302,,,Nord,2023,2,Piemonte
2024-07-13T23:16:04.340,Erariali,Erariali,4142361.5757158683,4142361.5757158683,5,5,5,Ente_069,69,4,202308,,,,2023,8,Friuli-Venezia Giulia
18.09.2023,erariali,Erariali,1502083.4759853843,1502083.4759853843,5,5,5,Ente_081,81,1,202402,,,Centro,2024,2,Liguria
2024-08-13T23:01:39.326,Previdenziali,Erariali,3177531.634870987,3177531.634870987,9,9,9,Ente_039,39,5,202401,,,Isole,2024,1,Molise
2024-11-26T14:19:07.409,Erariali,Erariali,540393.3055049754,540393.3055049754,7,7,17,Ente_091,91,2,202310,Da riconciliare,,Isole,2023,10,Umbria
2024-05-11T20:32:46.878,Erariali,Erariali,4849687.290433927,4849687.290433927,8,8,8,Ente_032,32,1,202412,,,Nord,2024,12,Toscana
2024-06-26T18:21:47.305,Previdenziali,Previdenziali,291733.21697807877,291733.21697807877,15,15,15,Ente_007,7,4,202401,,,,2024,1,Veneto
22-10-24,Assistenziali,Assistenziali,2191435.1945310407,2191435.1945310407,3,3,3,Ente_086,86,4,202308,,,Isole,2023,8,Veneto
2024/04/06,Da definire,Assistenziali,2684559.3910580566,2684559.3910580566,17,17,17,Ente_076,76,4,202302,,,Sud,2023,2,Molise
2024-05-28T14:30:20.720,PREVIDENZIALI,Previdenziali,3952618.4115381567,3952618.4115381567,19,19,19,Ente_050,50,5,202402,,,Centro,2024,2,Campania
2024-09-09T00:38:31.224,Erariali,Erariali,606521.4568450337,606521.4568450337,18,18,18,Ente_088,88,4,202405,,,Sud,2024,5,Toscana
2024-06-05T00:24:14.970,Erariali,Erariali,2204599.0613020277,2204599.0613020277,10,10,10,Ente_049,49,1,202406,,,Isole,2024,6,Sardegna
2024-03-15T01:13:06.347,Assistenziali,Assistenziali,1499258.1361477184,1499258.1361477184,2,2,2,Ente_043,43,5,202308,,,Nord,2023,8,Campania
22.04.2023,Previdenziali,Previdenziali,1560741.567751007,1560741.567751007,2,2,2,Ente_017,17,5,202305,,,Nord,2023,5,Friuli-Venezia Giulia
2024-01-22T15:42:08.320,erariali,Erariali,3894160.7924101893,3894160.7924101893,17,17,17,Ente_071,71,3,202409,,,Nord,2024,9,Marche
2024-02-18T02:14:59.558,Erariali,Erariali,28299.264214133877,28299.264214133877,15,15,15,Ente_081,81,1,202403,,,Nord,2024,3,Basilicata
2024-05-06T16:34:57.987,Erariali ,Erariali,3745669.1230384954,3745669.1230384954,16,16,16,Ente_020,20,5,202404,,,Nord,2024,4,Trentino-Alto Adige
2024-11-07T19:07:19.180,Previdenziali,Previdenziali,4052181.752185408,4052181.752185408,6,6,6,Ente_091,91,1,202411,Da riconciliare,,Centro,2024,11,Lazio
2024-09-23T12:24:35.617,Erariali,Erariali,4506909.856966503,4506909.856966503,20,20,20,Ente_045,45,5,202404,,,Centro,2024,4,Emilia-Romagna
2024-12-15T03:26:57.710,PREVIDENZIALI,Previdenziali,3134782.134349187,826935.775648869,2,2,2,Ente_074,74,4,202301,,,Nord,2023,1,Puglia
2024-06-12T02:14:21.385,Erariali,Erariali,1667943.1860329339,1667943.1860329339,15,15,15,Ente_070,70,3,202405,,,Centro,2024,5,Calabria
2023/07/23,PREVIDENZIALI,Previdenziali,2136746.4280118044,2136746.4280118044,18,18,18,Ente_048,48,2,202308,,,Centro,2023,8,Lazio
2024-08-27T10:30:13.791,Da definire,Previdenziali,4848710.675354859,4848710.675354859,8,8,8,Ente_032,32,3,202310,,,Nord,2023,10,Basilicata
2024-09-15T12:13:55.771,Previdenziali,Previdenziali,4406052.945352825,4406052.945352825,4,4,4,Ente_008,8,3,202410,,,Centro,2024,10,Liguria
2024-09-13T20:25:25.107,Assistenziali,Assistenziali,2318166.0195881105,2318166.0195881105,5,5,5,Ente_044,44,1,202407,,,Sud,2024,7,Emilia-Romagna
2024-01-04T03:30:36.530,Netto,Netto,4715371.972547501,4715371.972547501,8,8,8,Ente_062,62,1,202407,,,Nord,2024,7,Lombardia
2024-02-11T11:45:02.409,Erariali,Erariali,4114951.4221568885,4114951.4221568885,17,17,17,Ente_083,83,2,202408,,,,2024,8,Marche
2024-11-11T12:35:29.970,erariali,Erariali,4505548.218437314,4505548.218437314,6,6,6,Ente_083,83,1,202311,,,Nord,2023,11,Sicilia
2024-03-25T06:36:09.295,Previdenziali,Previdenziali,3415203.1956450287,3415203.1956450287,15,15,15,Ente_022,22,4,202407,,,Centro,2024,7,Toscana
2024-08-08T19:04:11.817,Netto,Netto,4288412.563266513,4288412.563266513,1,1,1,Ente_035,35,1,202312,,,Centro,2023,12,Sicilia
2024-04-09T08:49:37.170,Previdenziali,Previdenziali,4458938.940530295,4458938.940530295,11,11,11,Ente_028,28,2,202401,,,Nord,2024,1,Basilicata
2024-08-12T22:48:41.330,Previdenziali,Previdenziali,460990.90611881635,460990.90611881635,6,6,6,Ente_033,33,5,202410,,,Isole,2024,10,Lombardia
2024-07-27T21:35:57.492,Previdenziali,Previdenziali,4826119.666326632,4826119.666326632,6,6,6,Ente_006,6,1,202408,,,,2024,8,Valle d'Aosta
2024-08-25T19:22:11.194,Previdenziali,Previdenziali,1668731.8807215525,1668731.8807215525,20,20,20,Ente_012,12,3,202403,,,Sud,2024,3,Trentino-Alto Adige
11.04.2023,Previdenziali,Previdenziali,2200057.648407194,2200057.648407194,20,20,20,Ente_097,97,3,202410,,,,2024,10,Veneto
2024-02-05T06:27:42.194,Previdenziali,Previdenziali,3959726.8922048835,3959726.8922048835,18,18,18,Ente_050,50,1,202406,,,Centro,2024,6,Liguria
2024-11-05T14:37:02.489,Mista,Netto,3324816.631556916,3324816.631556916,18,18,18,Ente_098,98,4,202407,,,Nord,2024,7,Piemonte
2024-05-07T00:13:59.794,Netto,Netto,4465406.502267851,4465406.502267851,7,7,7,Ente_061,61,3,202412,,,,2024,12,Piemonte
2024-01-07T12:51:25.880,Assistenziali,Assistenziali,2003468.180133084,2003468.180133084,16,16,16,Ente_050,50,4,202401,,,Centro,2024,1,Lombardia
2024-02-03T07:46:30.181,Previdenziali,Previdenziali,1867067.5302171167,1867067.5302171167,19,19,19,Ente_076,76,2,202304,,,Nord,2023,4,Puglia
2024-09-15T22:53:47.961,Netto,Netto,159412.55885705704,159412.55885705704,12,12,12,Ente_037,37,1,202305,,,Isole,2023,5,Lazio
2023/01/25,Previdenziali,Previdenziali,2314164.1579716206,2314164.1579716206,18,18,18,Ente_100,100,5,202412,,,Nord,2024,12,Sardegna
2024-01-12T15:48:13.655,Erariali,Erariali,3620629.7808752144,3620629.7808752144,4,4,4,Ente_067,67,3,202304,,,Centro,2023,4,Lazio
2024-09-06T10:29:59.897,PREVIDENZIALI,Previdenziali,1506592.4094134541,1506592.4094134541,2,2,2,Ente_100,100,5,202408,,,Centro,2024,8,Molise
2024-02-08T23:10:12.315,Erariali,Erariali,2314169.8418555334,2314169.8418555334,9,9,9,Ente_061,61,3,202304,,,Isole,2023,4,Marche
2024/02/10,ERARIALI,Erariali,1097769.4446579048,1097769.4446579048,7,7,7,Ente_092,92,4,202401,,,Sud,2024,1,Valle d'Aosta
2024/05/12,Erariali,Erariali,3864166.241551432,3864166.241551432,12,12,12,Ente_011,11,3,202303,,,Nord,2023,3,Umbria
2024-10-11T13:02:09.595,Erariali,Erariali,303497.2951443944,303497.2951443944,5,5,5,Ente_080,80,2,202309,,,Nord,2023,9,Calabria
2024-02-01T07:10:38.677,Assistenziali,Assistenziali,3527209.8919474906,3527209.8919474906,12,12,12,Ente_054,54,4,202402,,,Nord,2024,2,Abruzzo
2024-01-31T10:45:08.795,Previdenziali,Previdenziali,1895321.1187131724,1895321.1187131724,16,16,16,Ente_067,67,5,202412,,,Nord,2024,12,Valle d'Aosta
2024-02-10T10:44:39.792,Da definire,Previdenziali,208938.75086621684,208938.75086621684,19,19,19,Ente_086,86,4,202304,,,Sud,2023,4,Toscana
2024-09-15T00:53:45.095,Erariali ,Erariali,4267494.466871637,4267494.466871637,12,12,12,Ente_058,58,3,202308,,,,2023,8,Liguria
2024-08-02T15:20:56.380,Erariali ,Erariali,4958933753.156983,4958933753.156983,1,1,1,Ente_049,49,2,202303,,,Sud,2023,3,Trentino-Alto Adige
06-03-23,Erariali ,Erariali,2996995.529111029,2996995.529111029,1,1,1,Ente_079,79,2,202304,,,Sud,2023,4,Trentino-Alto Adige
2024-06-29T15:02:19.443,Netto,Netto,3660421.42693076,3660421.42693076,19,19,19,Ente_099,99,2,202308,,,Isole,2023,8,Lazio
2024-05-07T08:12:28.297,Da definire,Netto,3275717.0905729425,3275717.0905729425,20,20,20,Ente_084,84,5,202310,,,Nord,2023,10,Lazio
2024-01-15T20:59:20.807,Previdenziali,Previdenziali,"3654553,497202243190",3654553.497202243,12,12,12,Ente_043,43,4,202307,,,Isole,2023,7,Valle d'Aosta
2024-12-24T11:03:56.736,ERARIALI,Erariali,3811646.1412047106,3811646.1412047106,5,5,5,Ente_068,68,1,202304,,,Sud,2023,4,Umbria
2024-09-21T13:22:22.844,PREVIDENZIALI,Erariali,2946168.50129249,2946168.50129249,9,9,9,Ente_093,93,5,202405,,,Centro,2024,5,Veneto
2024-02-29T20:57:16.360,Erariali,Erariali,1828823.5167078758,1828823.5167078758,12,12,12,Ente_084,84,4,202310,,,Sud,2023,10,Liguria
2024-07-29T16:18:08.373,Previdenziali,Previdenziali,1216467.6064319967,1216467.6064319967,2,2,2,Ente_029,29,2,202306,,,Nord,2023,6,Sardegna
2024-01-01T13:36:24.553,Previdenziali,Netto,4514613.280027283,4514613.280027283,13,13,13,Ente_014,14,3,202301,,,Centro,2023,1,Piemonte
2024-05-04T20:51:18.302,Erariali,Erariali,4849654.298346463,4849654.298346463,4,4,4,Ente_001,1,3,202412,,,Nord,2024,12,Veneto
2024-03-16T21:09:28.420,Erariali ,Netto,1788956.1127359462,1788956.1127359462,19,19,19,Ente_018,18,3,202401,,,Sud,2024,1,Trentino-Alto Adige
2024-11-25T01:41:43.245,Erariali,Erariali,562441.3346324288,562441.3346324288,8,8,8,Ente_081,81,3,202408,,,Centro,2024,8,Abruzzo
2024-07-30T14:13:20.719,Mista,Previdenziali,1113464.09825504,1113464.09825504,13,13,13,Ente_015,15,1,202310,,,Nord,2023,10,Veneto
2024-06-18T04:09:15.236,Netto,Netto,3353666.0625899606,3353666.0625899606,1,1,1,Ente_089,89,4,202401,,,Sud,2024,1,Sardegna
13.02.2024,Da definire,Netto,865493.9164216954,865493.9164216954,17,17,17,Ente_013,13,4,202307,,,Centro,2023,7,Sardegna
2024-10-01T12:08:55.184,Previdenziali,Assistenziali,3900831.24303188,3900831.24303188,17,17,17,Ente_097,97,5,202401,,,Sud,2024,1,Valle d'Aosta
2024-11-07T13:12:30.467,Previdenziali,Previdenziali,4615228.169133693,4615228.169133693,4,4,4,Ente_024,24,3,202311,,,Centro,2023,11,Lazio
2024-05-27T05:07:22.753,Assistenziali,Assistenziali,4818293.923879157,4818293.923879157,8,8,8,Ente_034,34,5,202307,,,Isole,2023,7,Friuli-Venezia Giulia
2024-06-24T11:20:18.362,Mista,Erariali,47618.20436847851,47618.20436847851,20,20,20,Ente_011,11,3,202408,,,Isole,2024,8,Friuli-Venezia Giulia
2024-07-04T12:51:28.282,Erariali,Erariali,4790812.670607129,4790812.670607129,5,5,5,Ente_062,62,1,202403,,,Isole,2024,3,Valle d'Aosta
2024-01-21T02:31:35.552,erariali,Erariali,3701231.9012289587,3701231.9012289587,16,16,16,Ente_047,47,1,202301,,,,2023,1,Valle d'Aosta
2024-05-01T12:35:46.335,Assistenziali,Erariali,"421167,111086747493",421167.1110867475,2,2,2,Ente_025,25,2,202409,,,Centro,2024,9,Sicilia
2024-02-25T07:54:10.161,PREVIDENZIALI,Previdenziali,2076787.1034248534,2076787.1034248534,9,9,9,Ente_032,32,3,202310,,,Isole,2023,10,Molise
2024/04/17,PREVIDENZIALI,Previdenziali,3500527.327422966,3500527.327422966,13,13,13,Ente_065,65,3,202307,,,Isole,2023,7,Veneto
2024-08-06T14:23:54.473,Netto,Netto,4783470.777812585,4783470.777812585,19,19,19,Ente_029,29,4,202409,,,Sud,2024,9,Piemonte
2024-07-04T12:37:24.600,Erariali,Erariali,821542.8266633515,821542.8266633515,9,9,9,Ente_041,41,1,202410,,,Isole,2024,10,Toscana
09.09.2024,Erariali,Erariali,639538.676352843,639538.676352843,3,3,3,Ente_075,75,4,DIC-2023,,,Sud,2023,12,Molise
2024-12-09T03:52:06.011,Mista,Erariali,2362262.9192561307,2362262.9192561307,1,1,1,Ente_022,22,5,202402,,,Sud,2024,2,Emilia-Romagna
2024-05-11T05:04:57.423,Previdenziali,Previdenziali,4840526.369798708,4840526.369798708,18,3,3,Ente_076,76,4,202301,,,Nord,2023,1,Piemonte
28-12-23,Erariali,Erariali,4856924.697074794,4856924.697074794,15,15,15,Ente_001,1,3,202310,,,Nord,2023,10,Puglia
2024-02-14T14:22:19.587,Mista,Assistenziali,1140345.7905234937,1140345.7905234937,1,1,1,Ente_016,16,4,202306,,,Sud,2023,6,Lombardia
18-01-23,Erariali,Erariali,1597416.3927093153,1597416.3927093153,15,15,15,Ente_016,16,2,202406,,,Sud,2024,6,Basilicata
10-01-24,Assistenziali,Assistenziali,4540251.896237628,4540251.896237628,18,18,18,Ente_003,3,4,10/2024,,,,2024,10,Marche
2024-10-30T18:15:35.521,Netto,Netto,3674472.6127694687,3674472.6127694687,19,19,19,Ente_100,100,2,202401,,,Centro,2024,1,Molise
2023/03/21,Erariali,Erariali,4861609.826859433,4861609.826859433,20,20,20,Ente_094,94,3,202303,,,Isole,2023,3,Basilicata
2024-05-17T20:20:49.504,erariali,Erariali,4465848.666714756,4465848.666714756,19,19,19,Ente_003,3,5,202305,,,Isole,2023,5,Marche
2024-03-23T12:35:44.737,Erariali,Erariali,1076265.155518403,1076265.155518403,20,20,20,Ente_099,99,1,202402,,,,2024,2,Molise
2024-02-22T14:39:43.687,Netto,Netto,3798874.570204004,3798874.570204004,13,13,13,Ente_052,94,2,202303,,,Isole,2023,3,Sicilia
2024-06-29T11:39:34.787,Previdenziali,Previdenziali,243777.5925690229,243777.5925690229,5,5,5,Ente_031,31,1,202306,,,Nord,2023,6,Molise
04.05.2024,Erariali,Erariali,4089346.0609286283,4089346.0609286283,5,5,5,Ente_035,35,5,202405,,,Centro,2024,5,Basilicata
11-06-24,PREVIDENZIALI,Previdenziali,3008182.2554605957,3008182.2554605957,11,11,11,Ente_050,50,4,202401,,,Isole,2024,1,Abruzzo
2024-08-30T03:07:03.577,erariali,Erariali,4780548.712219672,4780548.712219672,10,10,10,Ente_076,76,5,202406,,,Nord,2024,6,Liguria
2024-04-02T10:53:24.320,Erariali ,Erariali,4800202.244889923,4800202.244889923,6,6,6,Ente_094,94,5,202401,,,Isole,2024,1,Valle d'Aosta
2024-05-31T07:14:42.434,Erariali,Erariali,255024.73001275197,255024.73001275197,6,6,6,Ente_089,89,3,202312,,,Sud,2023,12,Basilicata
2024-09-23T11:04:11.635,Erariali,Erariali,803446.9062932834,803446.9062932834,13,13,13,Ente_023,23,2,202404,,,Sud,2024,4,Sicilia
2024-08-23T20:58:15.675,PREVIDENZIALI,Previdenziali,2421551.0295461393,2421551.0295461393,6,6,6,Ente_081,81,5,202405,,,Isole,2024,5,Calabria
2023/12/07,Erariali ,Erariali,4397588.1312058,4397588.1312058,7,7,7,Ente_065,65,2,202303,,,Sud,2023,3,Valle d'Aosta
2024-08-06T17:41:46.922,Previdenziali,Previdenziali,4072411.2663379856,4072411.2663379856,8,8,8,Ente_081,81,2,202403,,,Nord,2024,3,Puglia
2024-11-21T21:31:14.385,Mista,Assistenziali,4821885.761732542,4821885.761732542,10,10,10,Ente_059,59,5,202405,,,Nord,2024,5,Calabria
2024-06-21T05:48:48.670,Netto,Netto,3090802.501439593,3090802.501439593,11,19,19,Ente_035,35,1,202310,,,Centro,2023,10,Veneto
2024-01-06T16:27:14.568,ERARIALI,Erariali,1283561.0342885414,1283561.0342885414,5,5,5,Ente_063,63,5,202404,,,,2024,4,Sardegna
2024-04-29T15:21:08.077,Mista,Netto,126508.09088638147,126508.09088638147,8,8,8,Ente_018,18,3,202301,,,Nord,2023,1,Calabria
2024-05-27T05:54:54.193,Assistenziali,Assistenziali,1115409.5271120241,1115409.5271120241,1,1,1,Ente_010,10,4,202304,,,Isole,2023,4,Veneto
2024-04-24T16:41:49.284,Erariali,Erariali,3376690.7165701697,3376690.7165701697,7,7,7,Ente_047,47,4,202404,,,Isole,2024,4,Lombardia
04.02.2024,Netto,Netto,4631447.841891723,4631447.841891723,18,18,18,Ente_033,33,3,202309,,,Centro,2023,9,Sicilia
2023/06/25,Mista,Previdenziali,1605197.4328740158,1605197.4328740158,12,12,12,Ente_006,6,5,202308,,,Centro,2023,8,Sicilia
2024-05-28T02:42:12.612,Previdenziali,Previdenziali,4378645.947116188,4378645.947116188,19,19,19,Ente_021,21,5,202310,,,,2023,10,Sardegna
2024-11-23T13:49:13.155,Assistenziali,Assistenziali,1975096.3434574413,1975096.3434574413,8,8,8,Ente_047,47,5,202307,,,Centro,2023,7,Liguria
2024-03-21T00:42:30.339,PREVIDENZIALI,Previdenziali,1542047.9755933832,1542047.9755933832,3,3,3,Ente_030,30,1,202301,,,Sud,2023,1,Umbria
2024-09-22T13:28:30.124,Netto,Netto,2544712.3697862844,2544712.3697862844,10,10,10,Ente_090,69,4,202302,,,,2023,2,Sardegna
2024-10-28T15:47:25.870,Erariali,Previdenziali,2211925.1885556667,2211925.1885556667,14,14,14,Ente_071,71,1,202409,,,Nord,2024,9,Campania
2024-03-20T22:32:06.279,Erariali,Erariali,4569085.542716574,4569085.542716574,19,19,19,Ente_021,21,2,202304,,,Nord,2023,4,Basilicata
